,account_id,type,total_licenses,engagement_ratio,no_engaged_users
0,02JYV6YJOA,Customer,51.0,0.6470588235294118,3
1,03ZB5GRO9X,Customer,62.0,1.096774193548387,4
2,050UI22KX7,Customer,276.0,0.42391304347826086,10
3,0982N2ATQY,Customer,218.0,0.5137614678899083,21
4,0DW1MF07OL,Customer,8009.0,0.14321388438007243,52
5,0HPMNZ1UDB,Customer,1263.0,0.053840063341250986,21
6,0M3LOUFHW8,Customer,353.0,0.33994334277620397,21
7,0Q7TW1PUWS,Customer,255.0,0.42745098039215684,6
8,0S9BP4M18O,Customer,114.0,0.6929824561403509,13
9,0UBMC97C7B,Customer,1026.0,0.0009746588693957114,1
10,0V5DTAEGRY,Customer,168.0,0.4166666666666667,5
11,0VGNXB5JTB,Customer,191.0,0.5445026178010471,6
12,0WBGLMY62X,Customer,35.0,0.9428571428571428,4
13,0YEH8UXZ3A,Customer,50.0,0.92,7
14,109DCNWMBX,Customer,1000185.0,0.0006948714487819753,23
15,153SFLSE45,Customer,73.0,0.6027397260273972,7
16,1CNAQ2YOTO,Customer,128.0,0.671875,17
17,1ENNGAY37V,Customer,226.0,0.0752212389380531,2
18,1I1P0BQ1S9,Customer,131.0,0.44274809160305345,2
19,1JLMFLUOAY,Customer,28.0,1.0357142857142858,11
20,1K8LXEQLEZ,Customer,1000101.0,0.0009879002220775702,103
21,1KYNTL2UG0,Customer,112.0,0.10714285714285714,1
22,1POXRTEO2T,Customer,265.0,0.39622641509433965,8
23,1VJ35YRG29,Customer,528.0,0.032196969696969696,1
24,225AA35WFW,Customer,112.0,0.42857142857142855,4
25,2292MTR6SN,Customer,565.0,0.49911504424778763,23
26,25X1FVK1PB,Customer,25.0,1.28,4
27,2AB2RVNDFD,Customer,0.0,,28
28,2AN417VF0J,Customer,112.0,0.08928571428571429,2
29,2AY7OV50EW,Customer,112.0,0.5,2
30,2C1JLOPO6J,Customer,119.0,0.2184873949579832,5
31,2C9OGPS013,Customer,36.0,0.6111111111111112,2
32,2JN67LM8E4,Customer,351.0,0.4415954415954416,13
33,2NBFA37DL9,Customer,120.0,0.5833333333333334,2
34,2O4M84P4K9,Customer,636.0,0.32547169811320753,37
35,2OHKBM00E9,Customer,212.0,0.32075471698113206,8
36,2P2TIXC7UR,Customer,20.0,0.7,2
37,2TVHVWHHOL,Customer,118.0,0.559322033898305,1
38,2UEAXYLNFX,Customer,261.0,0.7471264367816092,16
39,2WSPOFV177,Customer,108.0,0.6759259259259259,4
40,2YUPMANQY0,Customer,62.0,0.1774193548387097,3
41,30QABXW2EO,Customer,1000056.0,0.002448862863679634,166
42,32HZS32D1J,Customer,1000031.0,0.00018199435817489658,14
43,344MW04I3D,Customer,122.0,0.5081967213114754,5
44,38XRG2GZR7,Customer,1132.0,0.006183745583038869,1
45,3ASNRM6DFH,Customer,263.0,0.7186311787072244,23
46,3D6M1FMPRY,Customer,111.0,0.8558558558558559,9
47,3FPOYIPK0Q,Customer,1000031.0,4.299866704132172e-05,5
48,3J2D54I3QK,Customer,649.0,0.5855161787365177,55
49,3K8EKT292M,Customer,10.0,1.3,3
50,3N3BZT9D31,Customer,673.0,0.3462109955423477,33
51,3Q7GKTMQG6,Customer,1517.0,0.2801582069874753,34
52,3R30ME8F84,Customer,9164.0,0.3808380619816674,266
53,3VOB5APO4L,Customer,162.0,0.7222222222222222,19
54,3W1YAUA8D7,Customer,656.0,0.8582317073170732,82
55,3ZSG9VWIEB,Customer,426.0,0.34507042253521125,12
56,43C5BA75UU,Customer,4478.0,0.17708798570790532,23
57,43I21PU8BW,Customer,335.0,0.03582089552238806,2
58,45BM1ENF31,Customer,1275.0,0.35058823529411764,81
59,45ED5GGSJ6,Customer,752.0,0.24601063829787234,17
60,486I3CE8ZN,Customer,121.0,0.2396694214876033,6
61,49TMY91OTK,Customer,192.0,0.59375,9
62,4A1X7OV6SG,Customer,686.0,0.24635568513119532,13
63,4A3YJTU7FB,Customer,306.0,0.08496732026143791,1
64,4B9SNTP8AK,Customer,85.0,0.36470588235294116,1
65,4GH2M5ZJA8,Customer,1221.0,0.5110565110565111,20
66,4HHE7ICDO5,Customer,75.0,0.8,7
67,4LAV71448N,Customer,566.0,0.13957597173144876,6
68,4LMCT64Z7W,Customer,194.0,0.654639175257732,22
69,4R9V4K00IL,Customer,469.0,0.5906183368869936,15
70,4UNY181ACJ,Customer,3216.0,0.2767412935323383,59
71,4VUEER90MW,Customer,1.0,28.0,3
72,54AI2278EQ,Customer,112.0,0.3125,3
73,58VRW9MYYO,Customer,630.0,0.5857142857142857,41
74,5E8OSAQ3EQ,Customer,115.0,0.2,1
75,5HRDU4XSZJ,Customer,1025.0,0.06146341463414634,17
76,5PSQ0OXFQ8,Customer,376.0,1.0398936170212767,57
77,5Q52DEZH0C,Customer,532.0,0.12218045112781954,5
78,5WH23GXRIR,Customer,237.0,0.06329113924050633,2
79,5XJXNECRYS,Customer,53.0,1.0943396226415094,11
80,5Y6Q8SJY5O,Customer,62.0,0.41935483870967744,1
81,5YWX0I3A4K,Customer,3034.0,0.20270270270270271,4
82,618LEU6ZU1,Customer,526.0,0.049429657794676805,5
83,61BGMY4IQZ,Customer,305.0,0.29180327868852457,8
84,6A3KKRZD5E,Customer,106.0,0.660377358490566,10
85,6CCVCJWTL9,Customer,4018.0,0.0014932802389248383,1
86,6E07FPY1AE,Customer,1000056.0,0.0010329421552393067,114
87,6E7GA2IZ5P,Customer,1000115.0,0.004130524989626193,127
88,6FHT60KUSF,Customer,162.0,0.4074074074074074,3
89,6G1EBZGFLI,Customer,112.0,0.15178571428571427,4
90,6HFD7LTTC9,Customer,117.0,0.7777777777777778,21
91,6KF1622VXY,Customer,221.0,0.2171945701357466,2
92,6L01WCNKFH,Customer,26.0,0.34615384615384615,1
93,6LH07BA7DO,Customer,51.0,1.0588235294117647,3
94,6PO0M24US7,Customer,2288.0,0.6245629370629371,73
95,6QZ6CP7SAV,Customer,526.0,0.03802281368821293,2
96,6T4UFEL624,Customer,113.0,0.5132743362831859,5
97,6TX0TBKG8B,Customer,388.0,0.6623711340206185,35
98,6VGTVYFYK3,Customer,23.0,0.4782608695652174,2
99,6XGZ7CTM09,Customer,28.0,0.21428571428571427,3
100,6Z1T2XCB3Y,Customer,396.0,0.44696969696969696,29
101,6ZS62YWE1G,Customer,883.0,0.49037372593431483,21
102,74U77W9A8L,Customer,1112.0,0.35611510791366907,59
103,79955CF72G,Customer,390.0,0.06923076923076923,12
104,7AI33993N4,Customer,644.0,0.593167701863354,11
105,7U8H0IMJYJ,Customer,526.0,0.7300380228136882,91
106,7VSYJAFCO3,Customer,1285.0,0.535408560311284,56
107,7VXUQDRMSW,Customer,1000115.0,1.2998505171905231e-05,3
108,7YT2M6TWD1,Customer,1232.0,0.41883116883116883,55
109,7ZEOQGVZHQ,Customer,1000039.0,0.0004669817877102793,14
110,82795E5IZ3,Customer,92.0,1.0,8
111,8ADF7PCHCB,Customer,146.0,0.7397260273972602,7
112,8BIXOIQ2Q4,Customer,92.0,1.25,36
113,8DJZR5SWK8,Customer,3000028.0,0.00017033174357039335,61
114,8DT8CQ1XGB,Customer,123.0,0.3008130081300813,5
115,8EKXDRKZ40,Customer,1030.0,0.13883495145631067,14
116,8F1N2OJGFH,Customer,134.0,0.4701492537313433,6
117,8FY620N8TT,Customer,112.0,0.22321428571428573,3
118,8HMBR5XQT4,Customer,48.0,0.22916666666666666,1
119,8HU7F0I9G5,Customer,227.0,0.7797356828193832,9
120,8IJL2Z0LJC,Customer,1000140.0,0.00011098446217529546,8
121,8LW2LM349E,Customer,50.0,0.68,1
122,8MTK0RSOGG,Customer,252.0,0.7579365079365079,33
123,8T922D0NX5,Customer,458.0,0.021834061135371178,2
124,8UA3A6S5ZX,Customer,35.0,0.2857142857142857,3
125,8WPFQ2BHAI,Customer,51.0,0.5098039215686274,3
126,91F4X2BFIB,Customer,186.0,1.0913978494623655,22
127,9212PGYME6,Customer,1023.0,0.6803519061583577,33
128,9DHSZNVP8G,Customer,118.0,0.3728813559322034,3
129,9DXJ37C9H4,Customer,100.0,0.32,2
130,9GB9XV8WOB,Customer,1116.0,0.10663082437275985,2
131,9H4HA0MVF4,Customer,1077.0,0.09006499535747446,5
132,9HQTYLU58F,Customer,95.0,0.6526315789473685,2
133,9HZGOPJDN8,Customer,34.0,0.6176470588235294,2
134,9ITE92SRL3,Customer,23.0,0.4782608695652174,3
135,9OINUXL39D,Customer,555.0,0.05765765765765766,1
136,9P3JPXGH30,Customer,62.0,0.2903225806451613,3
137,9PBTYJR39I,Customer,182.0,0.7307692307692307,16
138,9RR7S20CV3,Customer,4060.0,0.2334975369458128,46
139,9TZE5R5UQP,Customer,51.0,0.803921568627451,2
140,9UYG3IBG3H,Customer,132.0,1.0833333333333333,30
141,9VT3X8VE00,Customer,198.0,0.5606060606060606,4
142,9XKA4LIT6X,Customer,62.0,0.6290322580645161,9
143,9XQYM52XG8,Customer,212.0,0.2688679245283019,6
144,A1WJ0TPAC5,Customer,343.0,0.6209912536443148,12
145,A28DITMOWN,Customer,163.0,0.8588957055214724,45
146,A34MPYO2TL,Customer,3344.0,0.15879186602870812,22
147,A8MLIK22XM,Customer,192.0,0.234375,2
148,A8NZXC45BN,Customer,112.0,0.16071428571428573,3
149,AJSSUUQO1V,Customer,338.0,0.4171597633136095,16
150,ALUNQR8O1K,Customer,536.0,0.1884328358208955,7
151,AM97XO485D,Customer,112.0,0.11607142857142858,1
152,AMWJPIWUJT,Customer,151.0,0.3443708609271523,3
153,AN085RNTDR,Customer,702.0,0.21652421652421652,6
154,AN8ND7G0L3,Customer,626.0,0.03194888178913738,1
155,AO1CJFX5LI,Customer,146.0,0.6232876712328768,8
156,AQ15O2NQW4,Customer,106.0,0.6132075471698113,5
157,AV6763V1M3,Customer,583.0,0.4751286449399657,19
158,B4XGMPW5D3,Customer,1000025.0,0.0009149771255718607,160
159,BB4M0A6MDM,Customer,310.0,0.7,10
160,BC2SWSOZCT,Customer,114.0,0.06140350877192982,1
161,BFXB4Y4K7B,Customer,106.0,0.7924528301886793,1
162,BG34IQ7ZJ3,Customer,2257.0,0.5684536996012406,146
163,BG9SHO5D5A,Customer,86.0,0.5930232558139535,3
164,BHB7S9TJ1G,Customer,132.0,0.7651515151515151,5
165,BKUU5CZECC,Customer,60.0,0.23333333333333334,4
166,BL7AMKOH10,Customer,687.0,0.42066957787481807,19
167,BZ5NTDYWM8,Customer,0.0,,1
168,BZJW83579W,Customer,101.0,0.32673267326732675,2
169,C37RLN36V1,Customer,6.0,0.3333333333333333,1
170,C3RWQMMU7J,Customer,111.0,0.2072072072072072,5
171,CCU3FG00ZK,Customer,152.0,0.14473684210526316,4
172,CD6FXNOQ37,Customer,112.0,0.08035714285714286,2
